yearMonth,walkerId,firstService,returnFromLoss,returnFromPassive,retained
2019-01,5f54e91b-52cc-47e7-82b6-f465b2993d50,0,0,0,1
2019-01,5f54e91b-52cc-47e7-82b6-f465b2993d50,0,0,0,1
2019-01,5f54e91b-52cc-47e7-82b6-f465b2993d50,0,0,0,1
2019-01,5f54e91b-52cc-47e7-82b6-f465b2993d50,1,0,0,0
2019-01,f12c75c0-6895-4322-b771-7e27b0be5448,0,0,0,1
2019-01,f12c75c0-6895-4322-b771-7e27b0be5448,0,0,0,1
2019-01,f12c75c0-6895-4322-b771-7e27b0be5448,0,0,0,1
2019-01,5f54e91b-52cc-47e7-82b6-f465b2993d50,0,0,0,1
2019-01,aaee34af-dde4-4d5c-b334-cc410d17d9ee,1,0,0,0
2019-01,f12c75c0-6895-4322-b771-7e27b0be5448,0,0,0,1
2019-01,7f81ee9c-3365-4ae0-8efd-f45ba579d937,1,0,0,0
2019-01,7f81ee9c-3365-4ae0-8efd-f45ba579d937,0,0,0,1
2019-01,7f81ee9c-3365-4ae0-8efd-f45ba579d937,0,0,0,1
2019-01,7f81ee9c-3365-4ae0-8efd-f45ba579d937,0,0,0,1
2019-01,7f81ee9c-3365-4ae0-8efd-f45ba579d937,0,0,0,1
2019-01,f12c75c0-6895-4322-b771-7e27b0be5448,0,0,0,1
2019-01,5f54e91b-52cc-47e7-82b6-f465b2993d50,0,0,0,1
2019-01,5f54e91b-52cc-47e7-82b6-f465b2993d50,0,0,0,1
2019-01,5f54e91b-52cc-47e7-82b6-f465b2993d50,0,0,0,1
2019-01,81995418-e014-46ac-855a-b39a313d8316,0,0,0,1
2019-01,f12c75c0-6895-4322-b771-7e27b0be5448,0,0,0,1
2019-01,e76c3555-9c42-4c97-a637-09a50644753e,0,0,0,1
2019-01,e76c3555-9c42-4c97-a637-09a50644753e,0,0,0,1
2019-01,e76c3555-9c42-4c97-a637-09a50644753e,0,0,0,1
2019-01,e76c3555-9c42-4c97-a637-09a50644753e,0,0,0,1
2019-01,e76c3555-9c42-4c97-a637-09a50644753e,1,0,0,0
2019-01,f099baa0-5ef0-48da-b026-959fa175e3db,1,0,0,0
2019-01,37473826-bd06-497f-af78-8a5ef5a48a2d,0,0,0,1
2019-01,37473826-bd06-497f-af78-8a5ef5a48a2d,1,0,0,0
2019-01,106a8d64-808e-4d5a-b2a6-376707a8b206,1,0,0,0
2019-01,f12c75c0-6895-4322-b771-7e27b0be5448,1,0,0,0
2019-01,5f54e91b-52cc-47e7-82b6-f465b2993d50,0,0,0,1
2019-01,5f54e91b-52cc-47e7-82b6-f465b2993d50,0,0,0,1
2019-01,5f54e91b-52cc-47e7-82b6-f465b2993d50,0,0,0,1
