walkerId,firstService,returnFromLoss,returnFromPassive,retained
09e59ced-1172-4744-a2bb-eb68ae83041c,12,5,2,91
6007a0a8-d40b-4560-9ead-180c1646dae5,8,23,0,250
13d7d39f-4c27-446f-85a2-ce747ee07bee,37,0,0,51
d005408b-e621-42f5-ad47-6d05f71812ff,25,0,5,199
da9be347-c2ff-4453-b7db-04fecebcdede,10,0,0,160
f0e04649-819a-482f-8bcd-1e2b05c146a8,5,0,0,25
fe9073d4-b8f3-4f4e-a9f0-5f9e78a02576,11,3,9,90
7f3f00c5-0f59-4e67-b7eb-bf508a19d913,1,0,0,1
3c6433e6-3be1-4636-8d0f-513970a76495,16,4,0,40
a84801ae-2d04-441b-8b0e-18e84c148532,4,9,5,48
9560e755-7b5e-4104-92bc-d90f36a367f0,2,0,0,2
f12c75c0-6895-4322-b771-7e27b0be5448,16,0,0,99
18e49993-9bf6-43c0-936e-d4a419b58f3b,2,14,1,179
45ec9e1d-36a8-4585-aa9e-2793d1559cab,6,0,1,145
de14a524-b26f-4eb7-8b6d-112d3abdeee2,2,8,0,114
ebd10712-4d37-49ba-a8d3-72b47a7dfa13,3,4,26,197
d139d118-ba8c-4e09-be66-74c138a1b014,13,0,0,14
ae625ba1-2c16-4a3b-a61c-f067a36567b9,3,2,1,7
cabe81c4-326b-4566-88d1-28e4b4daa401,1,1,0,1
7594081d-eeef-41d3-b26e-c92e73c11863,21,0,0,594
0b887fa2-3016-4bdd-912f-e26e7bacb3c4,7,0,0,388
3b04b39f-052a-4047-b946-dfed172e6044,40,0,0,130
94e04688-2ad4-4472-a424-9308950ad38b,14,0,0,50
ea384983-4bbb-4209-8a37-d77fc9099840,14,9,0,77
bc70410a-4d85-44b8-949f-7522643c173f,10,0,9,365
49ed6acf-8cb0-4b04-96b0-17b90e292224,5,6,0,30
5b9be00f-dd2d-4045-b3c3-f1198311bcce,19,17,0,72
85df413c-a127-4a71-8382-6e42ec46f3e2,9,7,0,60
8a875a5c-561e-4452-98df-3748dbf23b8e,6,0,0,46
7c27f246-bfcd-488f-a08e-628878c15cdc,19,0,0,51
2fe0ec98-f11b-4930-b0ef-93e0bc5caa91,3,0,0,3
065263db-a844-47dc-a9e3-29551e246721,17,0,0,78
8f9dda8a-e283-4616-bc03-3c0ec1762083,27,15,0,59
4dfa908e-ce72-4992-8c99-c3e6c548348a,12,0,0,170
724a7e2f-4e64-4828-9654-4fb94d3c6be3,1,0,0,14
4bccdab7-9c0f-4627-9f44-65dd9679199b,1,0,0,7
81995418-e014-46ac-855a-b39a313d8316,2,0,0,3
36504184-00b6-45bb-be43-e7d2d48efa07,3,0,0,3
e874edc8-6411-497f-8098-478e84a58b41,20,0,0,73
f5a9d07f-a868-47aa-ba0f-13f18e44fded,8,5,0,31
903901b0-3520-4173-b2c2-5e2e8578b787,1,3,0,1
350a7734-6c1d-473b-866e-a9b055a76ca2,18,1,7,46
a2c47504-c037-43eb-a191-032814a2ae58,11,0,0,15
5460a9a8-c917-4246-926a-21e9ab6046bc,2,0,0,26
6ce20a39-6bca-4142-b2bc-00944117d61f,5,0,1,41
481a38a7-a75c-4c84-aa10-60d717892d36,6,0,0,42
ceb34925-fba4-4b45-ac88-6a41c0c118f1,5,0,0,5
f0486a11-71d6-485f-9f3a-b90c1e299d0b,27,0,0,53
4f808565-6919-433a-b690-a2def9e402f1,2,5,0,2
5b9a6efe-4622-4cb0-a330-bb8494e81a77,22,0,47,530
bbe40b63-c0ef-4946-bffa-71c093c78c11,12,0,0,100
b93995d2-ae36-4445-a3f2-a4c49b13bde1,1,27,26,46
e7d5b50e-b727-48e1-a89f-55ea266a4248,1,6,3,243
b71ffc33-0dab-4c92-bb6e-8e16e2b3d980,12,0,0,428
54c1ac64-3018-4887-9587-6b09c4f8a7f5,4,6,0,5
5c7e6c19-cef2-4c9a-9a77-561d52e2e685,3,0,0,3
5ff14126-f676-4bfe-ad7a-45a014e29bde,8,9,9,80
81324614-208e-4596-875d-ed7da02679d3,5,12,6,17
67d5a2ed-db55-46d1-9899-29d45d10887f,19,0,1,24
477cddf0-15b3-4221-b87a-39071981851d,3,0,0,34
c30bd6f4-170d-44cc-9ce9-e8c13333bfd6,4,0,3,6
2505a6f4-8219-4cc8-99db-9453674df75b,1,10,0,5
a45c73e0-9a85-46f0-a25a-5542b9ee1ec3,1,1,0,0
0ddcbc8e-8a3e-4f57-aba9-f9e7289135c4,11,1,0,59
4120d1b0-4a91-412d-9164-8292acf67bd1,5,0,0,5
15c9088f-2ea7-4196-819e-63135c51a6ff,17,7,0,22
5c113c3d-80db-4119-8bc2-cc5672893219,22,0,0,362
d582044d-db0a-42ba-b773-c7a3af3d67e1,5,0,1,14
bf40c8be-2d8b-4bd2-8778-e16a4e406c6b,1,17,0,0
a01d1d0b-2ca4-46dd-ba2b-6d973b00350f,12,0,4,26
74b389f3-cd08-40cd-9116-d24770061395,3,0,0,6
7e7c673c-0ef5-4b44-bcc9-c565d754f308,6,0,0,13
81b43acc-4536-4473-80a8-5412bc7da931,5,0,1,5
91b3ae1f-91ea-4c48-8f9e-3a9b6d1c7abd,12,10,0,232
cbbd12aa-07d3-4155-8deb-e38ca1e787d8,15,0,0,17
3c3eede4-b8be-472f-aad6-87ef56aec547,3,0,0,12
a5dc9bde-fc31-464f-8178-3c061289c5a0,2,5,0,9
5d94dd4c-3e60-43ac-bdf3-6ed4107a9619,25,0,0,33
ff665506-7322-4fcf-adef-0fdc52a8bd71,23,3,0,156
0bab10ee-bd43-4832-9a89-4449d5375f5f,13,0,0,15
b7019e03-474a-4263-8280-6f163b33595d,7,0,0,12
e097ae89-8fc4-4ecb-9d76-f61a1407cc14,2,20,0,11
d95712af-879f-46e1-b971-26dedd7f5665,13,11,0,39
daa3f192-e0a7-4fa4-a381-9b1853c010d7,1,0,0,2
1f6fdae9-82ad-4906-9bd2-291edc00f0bd,5,0,6,31
a15a6a7e-f93a-4270-9dcc-7e5edd42f544,14,0,2,16
6c23cf5e-8c2a-488e-a944-c559777efecb,14,0,0,48
8f95df49-71ef-401c-a7d3-7eb703563b7f,6,25,0,33
20f01a74-9891-4349-9acd-2381dd1c3d7c,8,0,0,8
e0fdea18-3e57-4179-8671-26945bfcc978,1,13,0,44
9e1cbca9-63c3-41a3-8e02-1856e771189a,18,0,0,18
c7a1c074-4ac3-4381-9f56-d2b11c1076ac,37,0,0,227
729312a9-816b-4360-8600-84bd322fea73,3,0,0,10
5e784acc-5555-4c75-9c50-03df7d74b3e8,5,0,0,5
2d4389e3-7cae-4cf9-bf7a-9443f82c2452,16,0,0,20
7504e48a-8c42-4367-a26b-d5eb44bd6465,1,1,0,1
1c69b771-114f-4061-b9f3-1ef8c3505de7,18,1,0,38
0ab3e600-4f94-424c-9b83-f605d72476c4,1,14,0,16
c6f2193d-bf18-4c0d-99a8-5dbd6fa6b474,11,0,0,12
9717e4ec-b3ea-423b-9773-3eeed3979ec0,3,17,9,49
1bb018c2-959d-4be7-8f90-d2d83f3a2104,12,0,0,19
2b3b888d-136d-422b-a9f5-12518e848047,3,0,0,37
aec079a3-05fc-44cd-aa71-1cbab1c27a32,12,2,4,24
85e39996-b33c-40bc-b1c9-a0816810cbbd,2,0,0,2
c2db74dc-506c-4db3-83c8-57d0b5d9aef7,18,0,0,31
615b4c00-4a3d-41bd-ae88-97d9e2485b0e,7,0,0,24
5e2470c2-982c-48bb-b006-d52332b0bac9,11,0,0,166
9038bf71-1166-4a85-8b67-0cd4c574677c,3,0,0,9
3231c9fe-c56e-4846-bb09-930fec46397e,9,0,0,17
77c7d76b-f41c-4ea0-9a1a-729ff72a70c5,6,0,15,31
edda4ee1-c273-47d3-966d-be944be6e749,4,2,0,10
f010cd92-b66b-41c0-8dcd-5ed86db0166d,6,0,18,105
